hate,text,text_id
2,"@shailu_CA modi madarchod hai Na, maa ko khara' kar diya note ki line 96 yr old maa. Modi is harami chutiya PM",pmathur_47
2,@free_thinker teri ammi free ki raandi thi madarchod tu free ka thinker paida huwa..free mey hi randi devil ko chod\xe2\x80\xa6 https://t.co/5S9CPSLXQK,pmathur_48
2,Kutte jite nahi madarchod dusro ko bhi nahi Jeene deti,pmathur_49
2,@LmRajpt @imjadeja Teri maa ka bhosra ..bharve ki aulad ...madarchod...aukat me rahe ..nahi gand phar dunga ..bharve,pmathur_50
2,@BhaiyyaSexy @SatyaSibaSabat1 @taran_adarsh abe madarchod bhagode multi starrer ese to daava me b Naseer ka equal r\xe2\x80\xa6 https://t.co/IDVhjy72V3,pmathur_51
2,RT @niralsoni: Madarchod kya chahta hai https://t.co/9fLcKJ4fxI,pmathur_52
2,@ShankhNaad @PetaIndia @ChouhanShivraj Kis madarchod ki he giri hui harkt,pmathur_53
2,@BuddhadevMurum1 @ColorsTV Madarchod shilpa randi rona band kar,pmathur_54
2,"@Shujaatsays Madarchod , bhenchod bsdk bhikhari Jihadi Porkistani \xf0\x9f\x98\x81\xf0\x9f\x98\x81\xf0\x9f\x98\x81 aab theek",pmathur_55
2,@rssurjewala Abe chup chutye ye to congress bhi kar sakti thi  madarchod ahmedabad me aake marunga apna kam kar,pmathur_56
2,@RavishKumar_ @shuklapinku @rajnathsingh @BSF_India Bhag madarchod,pmathur_57
1,Bhak Machod Mullo Ke Abbu  @bewak_sanki543 @milkygaay @Dilli_Ka_Maalik @ArvindKrejriwal @ashu3page @AamAadmiParty\xe2\x80\xa6 https://t.co/K1pRnRhz0V,pmathur_58
1,@_R_aHu_L_ @Mk56Kaur bhadwe ki aulad ho tum sale madarchod ki wajah se ye zait failta hai hindu muslim ka bhen ke t\xe2\x80\xa6 https://t.co/nbdEzBGmu1,pmathur_59
2,Madarchod why did your mom meet @narendramodi in GB Road and get screwed by her. https://t.co/mSfNGZfoI1,pmathur_60
2,@_R_aHu_L_ kyu ki ye tere bap ka nay hai tweeter madarchod bhosdike teri ma hogi zopdi wali bhen ke lode nikal yaha\xe2\x80\xa6 https://t.co/Z4jafVFx1w,pmathur_61
2,@NaamHiKafiHay Terrorist Madarchod humse baat karta hai,pmathur_62
2,@aajtak @TheHurera Madarchod he SAALA,pmathur_63
2,@MallikaDua randi ki beti madarchod baaap se chuda moti bhains,pmathur_64
2,@ikillukillwekil @Kalpeshco1 @sardanarohit Madarchod chutiya tum ho sale,pmathur_65
2,Katra hotel owners madarchod hote hain,pmathur_66
2,@sanjivbhatt teri ammi ko @ShatruganSinha se chudwa madarchod minus minus plus hota hai dimaag thikaney aajaye kahi\xe2\x80\xa6 https://t.co/kE2ZjNv1FL,pmathur_67
2,@futbolpogs Narad muni Hai Madarchod,pmathur_68
2,@RoflGandhi_ @Maddy_Shaab @sambitswaraj MADARCHOD KARAMFOOT GAANDU father of Congress..,pmathur_69
2,"@KRKActor1 abe Behsaram madarchod madarjaat tu abhi tak mara nahi, tu to suiside karne waala tha kutte harami madarchoddddddddddddddd???????",pmathur_70
2,"RT @ShrrinG: When any Virtue Signalling Chutiya comes to your TL, grab his collar and say They are not playing by any rules .. saala baap ko sikhata hai t's a FUCKI\xe2\x80\xa6",pmathur_71
2,Sab madarchod Neta hai.sb..,pmathur_72
2,@narendramodi177 @narendramodi arrey madarchod ky bacchey terko inko congrates karney ka time hain but ek tweet kar\xe2\x80\xa6 https://t.co/fza9YOu96m,pmathur_73
2,@Beingdaring1 @mannkakhiladi @_EternalSalman_ Chal is baat me tu Zaira waseem ki Tatti kha le hutiye...WARNA ek baa\xe2\x80\xa6 https://t.co/AyEdxdA7j3,pmathur_74
2,Madarchod https://t.co/9fLcKJ4fxI teri kon sunega,pmathur_75
1,@NaamHiKafiHay Teri maa Randi Madarchod Saale Pakistani,pmathur_76
2,@gautamrockzzzzz @BiggBoss Madarchod.. Tera ghar ka nahi khati hai voh chutiye..,pmathur_77
2,@KyaUkhaadLega I m agree with you.. Behanchod madarchod log h bhosdi wali log.. Gali se hi baat smjjhane kaa \xf0\x9f\x91\x8c\xf0\x9f\x91\x8c\xf0\x9f\x91\x8c\xf0\x9f\x91\x8c\xf0\x9f\x91\x8c\xf0\x9f\x91\x8c\xf0\x9f\x91\x8c\xf0\x9f\x91\x8c\xf0\x9f\x91\x8c,pmathur_78
2,@arunl97 @aipatel_55 @ManavDoshi2002 @INCIndia @FitchRatings madarchod choro hindustan chodo,pmathur_79
2,@dasraghubar madarchod tum vote ke liye apne bet I  tak ki dalali kar sake ho,pmathur_80
0,@mukkigirl @MulloKeAbbu @bewak_sanki543 @milkygaay @Dilli_Ka_Maalik @ArvindKrejriwal @ashu3page @AamAadmiParty @AmMi @laudeya @madarchod Ok,pmathur_81
0,RT @Bhak_Machod: @mukkigirl @MulloKeAbbu @bewak_sanki543 @milkygaay @Dilli_Ka_Maalik @ArvindKrejriwal @ashu3page @AamAadmiParty @AmMi @laud\xe2\x80\xa6,pmathur_82
2,@karanjohar @AnushkaSharma @imVkohli Tu madarchod haii...... Dosti ke namm par Sala dhoka deta hai,pmathur_83
2,Madarchod fawad ko toh try ball khelaya gya tha. Usey hi tum log first inning samjh liye. Grow up morons. Bhabhi se\xe2\x80\xa6 https://t.co/nTLmvxswmM,pmathur_84
2,"@yuva_raj3091 @Ranidreams @ROMI13343316 Ye bahenchod, achhe khase Lund ko bekar karenge... itna bada risk le rahe hain...",pmathur_85
2,RT @is_enticing: kya zindagi h yaar bahenchod.  \ndimag khrb. \ng m sb k sb.  \ngood night.,pmathur_86
2,RT @lil_unsteady: Ladke wale: kya karti hai aapki beti?\nLadki k papa: Twitter par logo ko bahenchod bolkar gender equality me apna yogdan d\xe2\x80\xa6,pmathur_87
2,kya zindagi h yaar bahenchod.  \ndimag khrb. \ng m sb k sb.  \ngood night.,pmathur_88
2,RT @AditShinde2: @BenafshaSoona Abe Bahenchod kuch To Sharam Kar San Be Dekha Hai \n\n#FixedWinnerShilpa,pmathur_89
0,RT @dilwala_SRK: @ISrkfanOnly @SRKsRider @SRKswarrior1 @being_tiger_ HNY k time pe 15000 kamaya tha maine..is baar payment nahi de rahe hai\xe2\x80\xa6,pmathur_90
2,@BiggBossNewz Ache Se Dekh Le Bahenchod https://t.co/1Smek5Fcl4,pmathur_91
2,MADARCHOD LOG \n\nBAHENCHOD LOG\n\nRAT KO MOTORBIKE ME SE PETROL \nCHURANE WALE LOG,pmathur_92
2,@airtelindia bahenchod..\n Why getting lots of ad in your Wynk music app. Pure mood ki maa behen kr dete h ...,pmathur_93
2,"@Robin_GoodX they don\'t know there is a word called ""BahenChod""",pmathur_94
2,@Bas1King \xf0\x9f\x91\x8c\xf0\x9f\x91\x8c\xf0\x9f\x91\x8c\xf0\x9f\x91\x8c\xf0\x9f\x91\x8c Acha reply diya ladkiya khe rahi Bahenchod jab itna normal hai to maal khe diya to kya galat Maal h\xe2\x80\xa6 https://t.co/6xbWS1cIlU,pmathur_95
2,@justinlouisbrad @beersbiebs Bahenchod. Aaukad mein rah.,pmathur_96
2,"RT @Bakchod_Choro: Friend - Bhai Me Apne Bete Ka Kya Naam Rakhu Jo Sabki Zubaan Pe Rahe \n\nMe -  "" Bahenchod "" Rakh De",pmathur_97
2,"@KenRoth U idiot, what d fuck ur fucking human rights watch z watching in Baluchistan? U motherfuckers shd close ur\xe2\x80\xa6 https://t.co/usrCp7pEat",pmathur_98
2,Anushka: baby tum mujhe shadi bad kis nam se bulao gey?\n\nVirat: bahenchod\n\n#VirushkaWEDDING,pmathur_99
2,@AvijitEmmi Bahenchod .... experienced lagte ho bhai bhot\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82,pmathur_100
2,@behenchodabhay @sarita_beta @parvatikhan2 @shikhaask5 Bahenchod sale bra nahi mangege tere bahen ki chuchi masal k\xe2\x80\xa6 https://t.co/iQB05N44Qd,pmathur_101
2,Or koi gaali bhi nahi dega bahenchod\xf0\x9f\x98\x82 https://t.co/Zr3wbRywm3,pmathur_102
2,@Mehreenansari95 @ColorsTV @JJROCKXX @eyehinakhan Yeh Dekho Bahenchod Ko Fake Id Chala Raha Hai,pmathur_103
0,RT @is_enticing: chalo acha h tumhare dost tumhare birthday ka countdown kar rahe h.\nbut iska mtlb yeh thodi h ki uska ss le k tum story da\xe2\x80\xa6,pmathur_104
2,@akramtyagi @BSF_India @rajnathsingh @Uppolice @moradabadpolice @myogiadityanath Pata nahi aise sanghi kutte ko bha\xe2\x80\xa6 https://t.co/n2PLeOgW0v,pmathur_105
2,RT @mdawaisi92: Anushka: baby tum mujhe shadi bad kis nam se bulao gey?\n\nVirat: bahenchod\n\n#VirushkaWEDDING,pmathur_106
2,@vishalIncest Bahenchod sale bra nahi mangege tere bahen ki chuchi masal kar sAli ko ghutno par bithuga n kutiya ba\xe2\x80\xa6 https://t.co/l77siKqVIk,pmathur_107
2,@deep_tejani @BiggBossCritic1 Are Bhai Apne Bahen Ka Nhi Banaya Kya Uska Bhi Bana Ke Dalna Tha Na Bahenchod Naale Me Paida Hua Kya,pmathur_108
2,"Friend - Bhai Me Apne Bete Ka Kya Naam Rakhu Jo Sabki Zubaan Pe Rahe \n\nMe -  "" Bahenchod "" Rakh De",pmathur_109
2,@BenafshaSoona Abe Bahenchod kuch To Sharam Kar San Be Dekha Hai \n\n#FixedWinnerShilpa,pmathur_110
2,"RT @The_Sonu_Gujjar: Friend - Bhai Me Apne Bete Ka Kya Naam Rakhu Jo Sabki Zubaan Pe Rahe \n\nMe -  "" Bahenchod "" Rakh De",pmathur_111
2,"Bahenchod this is the saddest thing, girl ready to do anything to help a guy sleep \xf0\x9f\x98\xa1\xf0\x9f\x98\xa1 https://t.co/3rd25Wf7QS",pmathur_112
2,@OfficeOfRG Bahenchod 65 saal TK apni maa chudwa rahe the tum log,pmathur_113
2,"@OfficeOfRG maadarchod tu dusaro ko chhod, tujhe gandhi family ka aisho-aaram mil raha hai. bahenchod dusaro ki fik\xe2\x80\xa6 https://t.co/JGPOSYKJXl",pmathur_114
2,@DrGPradhan Bahenchod laal chaddi goons,pmathur_115
0,Badir just announced their funding statistics for their emerging startups in Saudi Arabia\nhttps://t.co/si2Cq9KVcx\n#Startup #News #Tech,pmathur_116
2,"@attorneybharti @ArvindKejriwal Saala Bhadva Chandi ke Mukut dene waley ki shaadi me hi jata hai,isliye log ko pata\xe2\x80\xa6 https://t.co/0XyCk8onXP",pmathur_117
2,@rohanrgupta bhadve @TodaysChanakya ne teri bhadva giri sabko bata di #Shame,pmathur_118
2,RT @BehalPushkar: @TheKaranPatel Neem ka pta kadva hai karan patel bhadva hai\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 abbe chaman chuti*e apni izzat kyu utarvane pr tulla hai\xf0\x9f\x98\x82\xf0\x9f\x98\x82,pmathur_119
2,RT @APSodha1: @SirRavishKumar Bhadva jnta party \nBjp nhi \nSale kutto,pmathur_120
2,Lukachut bhadva,pmathur_121
2,@girirajsinghbjp Aese bhadva logo ko mind Me nahi leneka ae Pakistan jake sarkar girane ko bolta tha ae dalal he,pmathur_122
2,@ashish_tiwtter AAmir Khan the great Bhadva immediately started speaking when Jihadi Zaira got touched. But he never speaks for Hindus.,pmathur_123
2,@shaileshkap @HimanshiKunwar1 @jigneshmevani80 tu up bihar ka bhadva hoga jise gujarati me kadva kehete he ab to sa\xe2\x80\xa6 https://t.co/drD3fgfI2Y,pmathur_124
2,@ZahirAdvocate @Anmol_77 Pakistan bhadva hai,pmathur_125
2,@ChooseGudPerson @amitkumar13557 @Brijesh88220727 @AAP_Germany bhadvas started to Bark. AAP the great bhadva party.,pmathur_126
2,@KaziArshadHusai Haa tu Rahul  ka ghu khata hai \nPata hai sab ko \nGandi nali ka kida bhadva,pmathur_127
2,@BiggBoss  kickout Arshi chhinal and vikas bhadva,pmathur_128
2,@IndiaToday @cheteshwar1 Large number mein ayengey to BJP ko vote karengey aur is se @sardesairajdeep ki Gaand nahi\xe2\x80\xa6 https://t.co/ae3jCvT80n,pmathur_129
2,@patel_ronik @OfficeOfRG Hindi nai aati to ma ch***vane aaya he politics me... sala bhadva .. samjate pappu tere perie ko,pmathur_130
2,@ShakeelSabhasad @News18India Aur Chatne wale ko kutta chatukar...\nBhakt hai to sahi kam se kam dalal bhadva kutta\xe2\x80\xa6 https://t.co/QwYcYMKho9,pmathur_131
2,@laluprasadrjd Aur wo Bhadva hai Lalu Prasad \nSaala.ko thappad maar ke theek karo,pmathur_132
0,@DaaruBaazMehta @ArvindKejriwal @ManojTiwariMP @BJP4India That fellow Tiwari must be getting part of the loot from\xe2\x80\xa6 https://t.co/WLkkxdrihT,pmathur_133
2,@OfficeOfRG To for 60 sal tak kya Kiya? Jo ab bevakuf banane nikala hai murkh bhadva,pmathur_134
2,@News18India @sambitswaraj abe bhadva kanhiya kutte gaddar sale pakistani kutta dalla,pmathur_135
2,"@SabooVikas @PMOIndia @narendramodi A re MANIA TUH  NICH HAI ,MODISAHAB KO LAKER TERI GAAND MAIN JALAN HO RAHI HAI\xe2\x80\xa6 https://t.co/rl9PWU2Pbl",pmathur_136
2,@BJP4India @narendramodi Kapil Sibbal ko Border pe Ulta Latka k itne CHHED kare ki Uski Randi-Maa  b pehchan na sak\xe2\x80\xa6 https://t.co/y2nlVEpA98,pmathur_137
2,@ManiAyeSir  sorry agar me kuch gali likh du to kyuki Mera Hindi thoda poor he..bhadva chutiya Gujarati o ko gali deta he,pmathur_138
2,@HardikPatel_ bhadva.. havaskhor 18 dec k baad tu gujrat me dikh nhi payega dekh lena kahi muh chupa k pada hoga bhadva harpik havsakhor,pmathur_139
2,@EconomicTimes Bhadva ! M S Aiyar,pmathur_140
2,@vinodkapri @HoeZaay @sakshijoshii @ravikantmittal @ajitanjum Bhadva madarchod Bhakt ....,pmathur_141
2,Sorry Chakkichods I forgot to add Bhadva Owaisi. Count him too. :P,pmathur_142
2,@HardikPatel_ bhadva,pmathur_143
2,@Robins_patel07 @DesiStupides @smritiirani Aano Pan javab aapi de bhadva pavaya,pmathur_144
2,Abe tu Dallal hai sale ........bhadva hai tu congress ka Gandu manishankar..,pmathur_145
2,@htTweets Congress ka bhadva he tu... Madrchod,pmathur_146
2,@TheKaranPatel Neem ka pta kadva hai karan patel bhadva hai\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 abbe chaman chuti*e apni izzat kyu utarvane pr tulla hai\xf0\x9f\x98\x82\xf0\x9f\x98\x82,pmathur_147
2,@tehseenp Randi chodne wala bhadva aagaya,pmathur_148
1,@AHIRE40 @Bhimdev101 @SquareGas @ChandreshT @ANI Aur yeh nikla paki bhadva hindu naam istamal karte hue.abey katve\xe2\x80\xa6 https://t.co/8loGd9E4I4,pmathur_149
2,@laluprasadrjd Bhadva vo khali tu hay. Tihar KI tyari KAR. BAKI Sara India safe hay.tune life me ek hi KAM achha ki\xe2\x80\xa6 https://t.co/t8ayvWifoW,pmathur_150
2,@majestic_bhara @sambitswaraj @republic Anurag bhadva rahul tera baap hai,pmathur_151
2,@Ahmad_Shakeel Ye bhadva miljaye uski..maa chod du,pmathur_152
2,#PMSupariAttack\nSach kadva hai manishanker Aiyyer pakistan ka bhadva hai\nSorry I don't know Hindi or any other language,pmathur_153
2,@sardanarohit @aajtak Bhadva congress,pmathur_154
2,@Sahil_Adhikaari Jhatu hai saala bhadva,pmathur_155
2,@TimesNow @Shehzad_Ind @tehseenp Tu bhadva he bilkul tujme dimaag nhi,pmathur_156
0,RT @HukkaKing1: @GouravvRock @sonalichauhan1 @EatTravelDie @hemantbatra0 @SociallyMayank @TheSoberRider @vishalkalia2 Alfaz hai mera kadva\xe2\x80\xa6,pmathur_157
0,"@gadgil_rajesh He does not have guts in his balls. He is loud mouth. Creater of stories, fake cds and what not. He\xe2\x80\xa6 https://t.co/nnvRVLurp2",pmathur_158
2,Michael Oliver mkc teri bhen ke lode gandu sala chutmarika bhadva,pmathur_159
1,@ZeeNews @RubikaLiyaquat Yes muslimo ki gand hindu jab marenge to ye harami owaisi hi uske liye jimmdar hoga...ya b\xe2\x80\xa6 https://t.co/1UWeez1S7X,pmathur_160
0,@srirambjp @narendramodi It is the mindset issue. Congress wants to induct AAP leader Sangeeta Chandpa recently. Sh\xe2\x80\xa6 https://t.co/ScOE67XmEk,pmathur_161
2,@asadowaisi This Bhadva jantha party is appreciating a person who brutally killed a poor citizen. \n\nhttps://t.co/IH9uM0D8Jf,pmathur_162
2,"@KilaFateh @retheeshraj10 @TajinderBagga Abe ye tere Ko 'bhadva' bol Raha hai, mar sale Ko \xf0\x9f\x98\xb9\xf0\x9f\x98\xb9\xf0\x9f\x98\xb9\xf0\x9f\x98\xb9\xf0\x9f\x98\xb9\xf0\x9f\x9a\xa9\xf0\x9f\x9a\xa9 @RoflGandhi_",pmathur_163
2,@gumnaamsa Ye bhadva ladkiyo ko dhamkata h gake ss bnata h jo isse pat nhi rhi h,pmathur_164
2,#ManiShankarAiyar sala bhadva Gujarati o ko gali deta he chutiya,pmathur_165
2,@ANI @INCIndia Aur @OfficeOfRG ka ek aur bhosdika Bhadva apna suar gaand mukh se bola.,pmathur_166
2,@HardikPatel_ Loda madarchod pikina bhadva,pmathur_167
0,"@ShekharGupta IF IT SHOWS RAHULBABA VISITING TEMPLES TO TEMPLES, KUMAR KETKAR HAS NO PROBLEM. BUT IS TV SHOW WHAT P\xe2\x80\xa6 https://t.co/X9QjGkQufD",pmathur_168
2,@malviyamit @Anirudh_SR He is such a Bhadva,pmathur_169
2,@jyotyshekhawat1 Q ki ye bhadva h,pmathur_170
0,RT @DhanyakumarBPa2: @DaaruBaazMehta @ArvindKejriwal @ManojTiwariMP @BJP4India That fellow Tiwari must be getting part of the loot from the\xe2\x80\xa6,pmathur_171
2,@vikas_gujarat @KamalAg87404755 @HardikPatel_ Modi ko gali dene walo aab jake pata chala ki hardik aek bhadva he wo\xe2\x80\xa6 https://t.co/4PVWqq8kdT,pmathur_172
0,@sanjaiuwach @SkepticHindu @aaccheDin @tarsemkpahi @DrSaniaMaan @BhootSantosh @EpicRoflDon @BreakiNews\xe2\x80\xa6 https://t.co/xLrsCw5QeL,pmathur_173
0,@GouravvRock @sonalichauhan1 @EatTravelDie @hemantbatra0 @SociallyMayank @TheSoberRider @vishalkalia2 Alfaz hai mer\xe2\x80\xa6 https://t.co/e2VfkEMXuM,pmathur_174
2,@ManiAyeSir sala bhadva chutiya Gujarati o ko gali deta he... Sorry Yar Mera Hindi thoda poor he,pmathur_175
2,@republic @KapilSibal @pbhushan1 Kanoon ka badnaam Bhadva kal bakchodi raha tha wo Sunni board ka wakeel nahin?\nRep\xe2\x80\xa6 https://t.co/gix44ZOPJd,pmathur_176
1,"@Alikhansdaring @AdibaDare @Janbaazk707 @taslimanasreen kaye ko gaali de usko, chodthe Allah ke upar. ye musalmano\xe2\x80\xa6 https://t.co/dQCFcDG6aN",pmathur_177
0,RT @Irfan7867863: @sanjaiuwach @SkepticHindu @aaccheDin @tarsemkpahi @DrSaniaMaan @BhootSantosh @EpicRoflDon @BreakiNews @RaajnathSing @neo\xe2\x80\xa6,pmathur_178
2,RT @dinesh38: #ManiShankarAiyar sala bhadva Gujarati o ko gali deta he chutiya,pmathur_179
2,@ZeeNews Kya Dallo ab ye bhadva desh ka sanman kar raha he??????,pmathur_180
2,"@ArvindKejriwal Khujli bhikhari tatte, jhantu ka reporter, liar aur Jhantu aadmi party news, RNDTV ko chhodkr kabhi\xe2\x80\xa6 https://t.co/BwQyiIEzhd",pmathur_181
2,@ManiAyeSir  sorry agar me kuch gali likh du to...Mera Hindi thoda poor he...bhadva .. chutiya ki aulad Gujarati o ko gali deta he,pmathur_182
0,@sonalichauhan1 @HukkaKing1 @EatTravelDie @hemantbatra0 @SociallyMayank @TheSoberRider @vishalkalia2 Koi nhi parwah\xe2\x80\xa6 https://t.co/qE3UZW2aiJ,pmathur_183
2,@SirRavishKumar Bhadva jnta party \nBjp nhi \nSale kutto,pmathur_184
2,@jigneshmevani80 Vo sub congress ke bhadve hay. To ZAKIR KA bhadva hay Dhede Bhegiye T...saf karte hay CHUnav nahi ladke.,pmathur_185
2,@abpnewshindi @narendramodi apna dekh na dogle \nsher ke ghar bhadva paida hua hai \nhindutva wali party Modi virodh\xe2\x80\xa6 https://t.co/NrKBWTYXag,pmathur_186
