class,text,text_id,ekphrasis_clean_text,basic_clean_text
0,A boy donated blood to his gf !\n\nTwo months later they broke up ?\n\nBoy- mujhe mera khoon lauta de !! \n\nGirl- (throw\xe2\x80\xa6 https://t.co/0Ik5oBqSDb,pmathur_10,a boy donated blood to his girlfriend ! \ n \ ntwo months later they broke up ? \ n \ nboy - mujhe mera khoon lauta de ! <repeated> \ n \ ngirl - ( throw \ xe2 \ x80 \ xa6 <url>,boy donated blood his girlfriend ! \ \ ntwo months later they broke ? \ \ nboy - mujhe mera khoon lauta ! \ \ ngirl - ( throw \ xe2 \ x80 \ xa6
2,@SHARIQSAM @imjadeja @RoflGandhi_ Bc madarchod South Africa England main @imjadeja Man of the match award le chuke\xe2\x80\xa6 https://t.co/hGTCrbEDPB,pmathur_11,<user> <user> <user> because madarchod south africa england main <user> man of the match award le chuke \ xe2 \ x80 \ xa6 <url>,user user user because madarchod south africa england main user man the match award chuke \ xe2 \ x80 \ xa6
2,"@INCIndia Madarchod congresi or Bjp dono ki sarkar bani baad me  wade bhul gye"" Rajasthan me hamri City tak singal\xe2\x80\xa6 https://t.co/4LCITdwiVc",pmathur_12,"<user> madarchod congresi or bjp dono ki sarkar bani baad me wade bhul gye "" rajasthan me hamri city tak singal \ xe2 \ x80 \ xa6 <url>","user madarchod congresi bjp dono sarkar bani baad wade bhul gye "" rajasthan hamri city tak singal \ xe2 \ x80 \ xa6"
2,Madarchod socialify wale log  pouting face,pmathur_13,madarchod socialify wale log pouting face,madarchod socialify wale log pouting face
2,@abdullah_lagh @MehrTarar Madarchod kya hai yeh,pmathur_14,<user> <user> madarchod kya hello yeh,user user madarchod kya hello yeh
2,"@Acutereply @updatingwait [12/12, 13:23] : SUNNY LEONE BANA KE CHODEGE\nTERI MAA KO\nSAMJH ME AAYA \nMADARCHOD\n[12/12,\xe2\x80\xa6 https://t.co/YgvC2u0qYK",pmathur_15,"<user> <user> [ <number> / <number> , <time> ] : <allcaps> sunny leone bana ke chodege </allcaps> \ nteri <allcaps> maa knock out </allcaps> \ nsamjh <allcaps> me aaya </allcaps> \ nmadarchod \ n [ <number> / <number> , \ xe2 \ x80 \ xa6 <url>","user user [ / , time ] : sunny leone bana chodege \ nteri maa knock out \ nsamjh aaya \ nmadarchod \ [ / , \ xe2 \ x80 \ xa6"
2,RT @ISMATKH01427041: @ShankhNaad @PetaIndia @ChouhanShivraj Kis madarchod ki he giri hui harkt,pmathur_16,rt <user> : <user> <user> <user> keep it simple madarchod ki he giri hui harkt,user : user user user keep it simple madarchod giri hui harkt
2,@m_sukhwal @aajtak Teri maa Behan ko har rooj chood rahe hai tum khayal rakho .warnna aise hi chudawati rahati hai madarchod.,pmathur_17,<user> <user> teri maa behan knock out har rooj chood rahe hello tum khayal rakho . warnna aise hi chudawati rahati hello madarchod .,user user teri maa behan knock out har rooj chood rahe hello tum khayal rakho . warnna aise chudawati rahati hello madarchod .
2,@BhaiyyaSexy @SatyaSibaSabat1 @taran_adarsh Deewar superhit nai aaj ke time ke hisaab se ATBB hai chutye dont compa\xe2\x80\xa6 https://t.co/52ENgEeb67,pmathur_18,<user> <user> <user> deewar superhit nai aaj ke time ke hisaab se <allcaps> atbb </allcaps> hello chutye do not compa \ xe2 \ x80 \ xa6 <url>,user user user deewar superhit nai aaj time hisaab atbb hello chutye do not compa \ xe2 \ x80 \ xa6
1,"*Virat and Anushka's future kid*\n\nAnushka: Mamma bolo beta, mammaaaa\n\nKid: Mm.. Ma.. Maa.. Madarchod!",pmathur_19,"* virat and anushka ' s future kid *\ n \ nanushka : mamma bolo beta , mama <elongated> \ n \ nkid : mm . <repeated> ma . <repeated> maa . <repeated> madarchod !","* virat and anushka ' future kid \ nanushka : mamma bolo beta , mama \ \ nkid : . . maa . madarchod !"
1,@dasraghubar @narendramodi @AmitShah @BJP4India @BJPLive @BJP4Jharkhand Madarchod brahmno se mafi mango,pmathur_20,<user> <user> <user> <user> <user> <user> madarchod brahmno se mafi mango,user user user user user user madarchod brahmno mafi mango
2,@LmRajpt @imjadeja @RoflGandhi_ Suwar ke bache ..madar chod..Teri maa ki chut me..ghungru bajaunga madarchod...bhar\xe2\x80\xa6 https://t.co/bFTERvXNoQ,pmathur_21,<user> <user> <user> suwar ke bache . <repeated> madar chod . <repeated> teri maa ki pussy me . <repeated> ghungru bajaunga madarchod . <repeated> bhar \ xe2 \ x80 \ xa6 <url>,user user user suwar bache . madar chod . teri maa pussy . ghungru bajaunga madarchod . bhar \ xe2 \ x80 \ xa6
2,@HornyGlF Fuck off! Chal bhag yahan se madarchod,pmathur_22,<user> fuck off ! chal bhag yahan se madarchod,user fuck off ! chal bhag yahan madarchod
2,@LogicalGabbar @imjadeja Teri maa ko our Ben ko chudva sale benchod .... madarchod....Gabbar,pmathur_23,<user> <user> teri maa knock out our ben knock out chudva sale benchod . <repeated> madarchod . <repeated> gabbar,user user teri maa knock out our ben knock out chudva sale benchod . madarchod . gabbar
2,I have to say this madarchod @Twitter @TwitterIndia i created multiple accounts and you locked all accounts &amp,pmathur_24,i have to say this madarchod <user> <user> i created multiple accounts and you locked all accounts &,have say this madarchod user user created multiple accounts and you locked all accounts &
2,@I_Daredevil @ElahiHiba Ya bakrichod jyada ni uchal rhe h bhosdi vale madarchod\nBawasir c shakal ki h ye\nAnd bhokti\xe2\x80\xa6 https://t.co/zcYFxTLXe5,pmathur_25,<user> <user> yeah bakrichod jyada no idea uchal rhe h bhosdi vale madarchod \ nbawasir c shakal ki h yeah \ nand bhokti \ xe2 \ x80 \ xa6 <url>,user user yeah bakrichod jyada no idea uchal rhe bhosdi vale madarchod \ nbawasir shakal yeah \ nand bhokti \ xe2 \ x80 \ xa6
2,@ShankhNaad @SmokingSkills_ @PetaIndia @ChouhanShivraj @PetaIndia kidhar chupe hai re madarchod peta wale gandu log.?,pmathur_26,<user> <user> <user> <user> <user> kidhar chupe hello reply madarchod peta wale gandu log ? . <repeated>,user user user user user kidhar chupe hello reply madarchod peta wale gandu log ? .
2,@KRKActor1 tu waha kya kar raha ha madarchod. bahan k lode kaha comarision kar raha ha . tu kaha 1 No ka madarchod\xe2\x80\xa6 https://t.co/m7nBRT1yUR,pmathur_27,<user> thank you waha kya kar raha ha madarchod . bahan k lode kaha comarision kar raha ha . thank you kaha <number> no Kick ass madarchod \ xe2 \ x80 \ xa6 <url>,user thank you waha kya kar raha madarchod . bahan lode kaha comarision kar raha . thank you kaha Kick ass madarchod \ xe2 \ x80 \ xa6
2,@matchmyvibe_  madarchod maar dalo,pmathur_28,<user> madarchod maar dalo,user madarchod maar dalo
2,@jeevanblog1 Isme embarassing kya hai bey madarchod? Ahmedabad commissioner has not given permission to hold a rall\xe2\x80\xa6 https://t.co/G8Vw51FXUA,pmathur_29,<user> isme embarassing kya hello bey madarchod ? ahmedabad commissioner has not given permission to hold a rall \ xe2 \ x80 \ xa6 <url>,user isme embarassing kya hello bey madarchod ? ahmedabad commissioner has not given permission hold rall \ xe2 \ x80 \ xa6
1,@NANGI_POOJA Madarchod musalman aaiysha aur wo hai,pmathur_30,<user> madarchod musalman aaiysha aur wo hello,user madarchod musalman aaiysha aur hello
2,@LmRajpt @imjadeja @RoflGandhi_ Madarchod Randi ke bache ..gali kisko de rha hai...gand phar dunga bharve....bhosrike aukat me reh....,pmathur_31,<user> <user> <user> madarchod randi ke bache . <repeated> gali kisko de rha hello . <repeated> gand phar dunga bharve . <repeated> bhosrike aukat me reh . <repeated>,user user user madarchod randi bache . gali kisko rha hello . gand phar dunga bharve . bhosrike aukat reh .
2,Bollywoodians are madarchod ye to kai saalon se bata raha hoon main tum logon ko. https://t.co/2tFNvDDe25,pmathur_32,bollywoodians are madarchod yeah to kai saalon se bata raha hoon main tum logon knock out . <url>,bollywoodians are madarchod yeah kai saalon bata raha hoon main tum logon knock out .
2,@ElCrankoPunko cranko madarchod you unfollowed me tu dekh ab kya karta hun main,pmathur_33,<user> cranko madarchod you unfollowed me thank you dekh ab kya karta honey main,user cranko madarchod you unfollowed thank you dekh kya karta honey main
1,@M_walim @ICC @imVkohli @AnushkaSharma Teri ammi ko chodne wala insaan hai ye icc kya pure world isko badhai dekha bc hat mulle madarchod,pmathur_34,<user> <user> <user> <user> teri ammi knock out chodne wala insaan hello yeah icc kya pure world isko badhai dekha because hat mulle madarchod,user user user user teri ammi knock out chodne wala insaan hello yeah icc kya pure world isko badhai dekha because hat mulle madarchod
2,@OfficeOfRG Rafel Deal Rafel Deal Rafel Deal... Tum madarchod Congressio ke raj mai fighter deal kyu nahi hue?? Chu\xe2\x80\xa6 https://t.co/PjvpGURUuz,pmathur_35,<user> rafel deal rafel deal rafel deal . <repeated> tum madarchod congressio ke raj my fighter deal kyu nahi hue ? <repeated> you \ xe2 \ x80 \ xa6 <url>,user rafel deal rafel deal rafel deal . tum madarchod congressio raj fighter deal kyu nahi hue ? you \ xe2 \ x80 \ xa6
2,"@SaniyaChatterje Saniya, must say you are most madarchod randi on twitter...cum ki pyassi...abtak na jane loundo ne\xe2\x80\xa6 https://t.co/0iFjBqmb3W",pmathur_36,"<user> saniya , must say you are most madarchod randi on twitter . <repeated> cum ki pyassi . <repeated> abtak not applicable jane loundo any \ xe2 \ x80 \ xa6 <url>","user saniya , must say you are most madarchod randi twitter . cum pyassi . abtak not applicable jane loundo any \ xe2 \ x80 \ xa6"
1,"@girishalva @garuna73 I never donate to any madarchod hindu priests, they are chors.",pmathur_37,"<user> <user> i never donate to any madarchod hindu priests , they are chors .","user user never donate any madarchod hindu priests , they are chors ."
2,@ManishTewari you madarchod in @incindia screwed Air India and still have audacity to question Government. Kya khate ho aur kya sochte ho \xe2\x80\xa6 https://t.co/2RRcR2QQCd,pmathur_38,<user> you madarchod in <user> screwed air india and still have audacity to question government . kya khate hold on aur kya sochte hold on \ xe2 \ x80 \ xa6 <url>,user you madarchod user screwed air india and still have audacity question government . kya khate hold on aur kya sochte hold on \ xe2 \ x80 \ xa6
2,Is madarchod Sajid Khan ko Jayvijay se kya problem h . Khud ko to kuch aata ni uski performance ko bekar bolta h..\xe2\x80\xa6 https://t.co/dJxNCXHsyh,pmathur_39,is madarchod sajid khan knock out jayvijay se kya problem h . khud knock out to kuch aata no idea uski performance knock out bekar bolta h . <repeated> \ xe2 \ x80 \ xa6 <url>,madarchod sajid khan knock out jayvijay kya problem . khud knock out kuch aata no idea uski performance knock out bekar bolta . \ xe2 \ x80 \ xa6
2,@sanjivbhatt teri maaa ko kuttey se chudwaya tera suwar baaap tab jakar tu madarchod paida huwa...randi ka aulaaad madarchod,pmathur_40,<user> teri ma <elongated> knock out kuttey se chudwaya tera suwar bap <elongated> tab jakar thank you madarchod paida huwa . <repeated> randi Kick ass aulad <elongated> madarchod,user teri knock out kuttey chudwaya tera suwar bap tab jakar thank you madarchod paida huwa . randi Kick ass aulad madarchod
2,@Manan_13 @Nirmalogy @BhokalTweet Ambani supporter Madarchod mar ja,pmathur_41,<user> <user> <user> ambani supporter madarchod mar ja,user user user ambani supporter madarchod mar
2,@vinodkapri @HoeZaay @sakshijoshii @ravikantmittal @ajitanjum Bhadva madarchod Bhakt ....,pmathur_42,<user> <user> <user> <user> <user> bhadva madarchod bhakt . <repeated>,user user user user user bhadva madarchod bhakt .
2,@updatingwait @Acutereply Ab usko chhod mjse bat kr tera baap aa gya hai ab to ldki ko beech me q la ra hai Madarch\xe2\x80\xa6 https://t.co/aRTpVwrqw6,pmathur_43,<user> <user> ab usko chhod mjse bat kr tera baap aa gya hello ab to ldki knock out bitch me q la ra hello madarch \ xe2 \ x80 \ xa6 <url>,user user usko chhod mjse bat tera baap gya hello ldki knock out bitch hello madarch \ xe2 \ x80 \ xa6
2,"@Shujaatsays Teri Ammi k sath first inning Virat khela tha, tb tu paida hua, aur tera abbu Abhi us result ka gum mana rha h madarchod \xf0\x9f\xa4\xa3",pmathur_44,"<user> teri ammi k sath first inning virat khela the , text back thank you paida hua , aur tera abbu abhi us result Kick ass gum mana rha h madarchod \ xf0 \ x9f \ xa4 \ xa3","user teri ammi sath first inning virat khela the , text back thank you paida hua , aur tera abbu abhi result Kick ass gum mana rha madarchod \ xf0 \ x9f \ xa4 \ xa3"
2,@pbhushan1 @sanjaymanjrekar Oh the madarchod liberal manjrekar retweeted. Bhadwa congress ka dalal.,pmathur_45,<user> <user> oh the madarchod liberal manjrekar retweeted . bhadwa congress Kick ass dalal .,user user the madarchod liberal manjrekar retweeted . bhadwa congress Kick ass dalal .
2,@PiranhaBlowjob Madarchod jalta hai mujhse ?,pmathur_46,<user> madarchod jalta hello mujhse ?,user madarchod jalta hello mujhse ?
2,"@shailu_CA modi madarchod hai Na, maa ko khara' kar diya note ki line 96 yr old maa. Modi is harami chutiya PM",pmathur_47,"<user> modi madarchod hello not applicable , maa knock out khara ' kar diya note ki line <number> year old maa . modi is harami chutiya pm","user modi madarchod hello not applicable , maa knock out khara ' kar diya note line year old maa . modi harami chutiya"
2,@free_thinker teri ammi free ki raandi thi madarchod tu free ka thinker paida huwa..free mey hi randi devil ko chod\xe2\x80\xa6 https://t.co/5S9CPSLXQK,pmathur_48,<user> teri ammi free ki raandi thi madarchod thank you free Kick ass thinker paida huwa . <repeated> free mey hi randi devil knock out chod \ xe2 \ x80 \ xa6 <url>,user teri ammi free raandi thi madarchod thank you free Kick ass thinker paida huwa . free mey randi devil knock out chod \ xe2 \ x80 \ xa6
2,Kutte jite nahi madarchod dusro ko bhi nahi Jeene deti,pmathur_49,kutte jite nahi madarchod dusro knock out bhi nahi jeene deti,kutte jite nahi madarchod dusro knock out bhi nahi jeene deti
2,@LmRajpt @imjadeja Teri maa ka bhosra ..bharve ki aulad ...madarchod...aukat me rahe ..nahi gand phar dunga ..bharve,pmathur_50,<user> <user> teri maa Kick ass bhosra . <repeated> bharve ki aulad . <repeated> madarchod . <repeated> aukat me rahe . <repeated> nahi gand phar dunga . <repeated> bharve,user user teri maa Kick ass bhosra . bharve aulad . madarchod . aukat rahe . nahi gand phar dunga . bharve
2,@BhaiyyaSexy @SatyaSibaSabat1 @taran_adarsh abe madarchod bhagode multi starrer ese to daava me b Naseer ka equal r\xe2\x80\xa6 https://t.co/IDVhjy72V3,pmathur_51,<user> <user> <user> abe madarchod bhagode multi starrer ese to daava me b naseer Kick ass equal r \ xe2 \ x80 \ xa6 <url>,user user user abe madarchod bhagode multi starrer ese daava naseer Kick ass equal \ xe2 \ x80 \ xa6
2,RT @niralsoni: Madarchod kya chahta hai https://t.co/9fLcKJ4fxI,pmathur_52,rt <user> : madarchod kya chahta hello <url>,user : madarchod kya chahta hello
2,@ShankhNaad @PetaIndia @ChouhanShivraj Kis madarchod ki he giri hui harkt,pmathur_53,<user> <user> <user> keep it simple madarchod ki he giri hui harkt,user user user keep it simple madarchod giri hui harkt
2,@BuddhadevMurum1 @ColorsTV Madarchod shilpa randi rona band kar,pmathur_54,<user> <user> madarchod shilpa randi rona band kar,user user madarchod shilpa randi rona band kar
2,"@Shujaatsays Madarchod , bhenchod bsdk bhikhari Jihadi Porkistani  grinning face with smiling eyes",pmathur_55,"<user> madarchod , bhenchod bsdk bhikhari jihadi porkistani grinning face with smiling eyes","user madarchod , bhenchod bsdk bhikhari jihadi porkistani grinning face with smiling eyes"
2,@rssurjewala Abe chup chutye ye to congress bhi kar sakti thi  madarchod ahmedabad me aake marunga apna kam kar,pmathur_56,<user> abe chup chutye yeah to congress bhi kar sakti thi madarchod ahmedabad me aake marunga apna kam kar,user abe chup chutye yeah congress bhi kar sakti thi madarchod ahmedabad aake marunga apna kam kar
2,@RavishKumar_ @shuklapinku @rajnathsingh @BSF_India Bhag madarchod,pmathur_57,<user> <user> <user> <user> bhag madarchod,user user user user bhag madarchod
1,Bhak Machod Mullo Ke Abbu  @bewak_sanki543 @milkygaay @Dilli_Ka_Maalik @ArvindKrejriwal @ashu3page @AamAadmiParty\xe2\x80\xa6 https://t.co/K1pRnRhz0V,pmathur_58,bhak machod mullo ke abbu <user> <user> <user> <user> <user> <user> \ xe2 \ x80 \ xa6 <url>,bhak machod mullo abbu user user user user user user \ xe2 \ x80 \ xa6
1,@_R_aHu_L_ @Mk56Kaur bhadwe ki aulad ho tum sale madarchod ki wajah se ye zait failta hai hindu muslim ka bhen ke t\xe2\x80\xa6 https://t.co/nbdEzBGmu1,pmathur_59,<user> <user> bhadwe ki aulad hold on tum sale madarchod ki wajah se yeah zait failta hello hindu muslim Kick ass bhen ke t \ xe2 \ x80 \ xa6 <url>,user user bhadwe aulad hold on tum sale madarchod wajah yeah zait failta hello hindu muslim Kick ass bhen \ xe2 \ x80 \ xa6
2,Madarchod why did your mom meet @narendramodi in GB Road and get screwed by her. https://t.co/mSfNGZfoI1,pmathur_60,madarchod why did your mom meet <user> in Go back road and get screwed by her . <url>,madarchod why did your mom meet user Go back road and get screwed her .
2,@_R_aHu_L_ kyu ki ye tere bap ka nay hai tweeter madarchod bhosdike teri ma hogi zopdi wali bhen ke lode nikal yaha\xe2\x80\xa6 https://t.co/Z4jafVFx1w,pmathur_61,<user> kyu ki yeah tere bap Kick ass nay hello tweeter madarchod bhosdike teri ma hogi zopdi wali bhen ke lode nikal yaha \ xe2 \ x80 \ xa6 <url>,user kyu yeah tere bap Kick ass nay hello tweeter madarchod bhosdike teri hogi zopdi wali bhen lode nikal yaha \ xe2 \ x80 \ xa6
2,@NaamHiKafiHay Terrorist Madarchod humse baat karta hai,pmathur_62,<user> terrorist madarchod humse baat karta hello,user terrorist madarchod humse baat karta hello
2,@aajtak @TheHurera Madarchod he SAALA,pmathur_63,<user> <user> madarchod he <allcaps> saala </allcaps>,user user madarchod saala
2,@MallikaDua randi ki beti madarchod baaap se chuda moti bhains,pmathur_64,<user> randi ki beti madarchod bap <elongated> se chuda moti bhains,user randi beti madarchod bap chuda moti bhains
2,@ikillukillwekil @Kalpeshco1 @sardanarohit Madarchod chutiya tum ho sale,pmathur_65,<user> <user> <user> madarchod chutiya tum hold on sale,user user user madarchod chutiya tum hold on sale
2,Katra hotel owners madarchod hote hain,pmathur_66,katra hotel owners madarchod hote hain,katra hotel owners madarchod hote hain
2,@sanjivbhatt teri ammi ko @ShatruganSinha se chudwa madarchod minus minus plus hota hai dimaag thikaney aajaye kahi\xe2\x80\xa6 https://t.co/kE2ZjNv1FL,pmathur_67,<user> teri ammi knock out <user> se chudwa madarchod minus minus plus hota hello dimaag thikaney aajaye kahi \ xe2 \ x80 \ xa6 <url>,user teri ammi knock out user chudwa madarchod minus minus plus hota hello dimaag thikaney aajaye kahi \ xe2 \ x80 \ xa6
2,@futbolpogs Narad muni Hai Madarchod,pmathur_68,<user> narad muni hello madarchod,user narad muni hello madarchod
2,@RoflGandhi_ @Maddy_Shaab @sambitswaraj MADARCHOD KARAMFOOT GAANDU father of Congress..,pmathur_69,<user> <user> <user> <allcaps> madarchod karamfoot gaandu </allcaps> father of congress . <repeated>,user user user madarchod karamfoot gaandu father congress .
2,"@KRKActor1 abe Behsaram madarchod madarjaat tu abhi tak mara nahi, tu to suiside karne waala tha kutte harami madarchoddddddddddddddd???????",pmathur_70,"<user> abe behsaram madarchod madarjaat thank you abhi tak mara nahi , thank you to suiside karne waala the kutte harami madarchod <elongated> ? <repeated>","user abe behsaram madarchod madarjaat thank you abhi tak mara nahi , thank you suiside karne waala the kutte harami madarchod ?"
2,"RT @ShrrinG: When any Virtue Signalling Chutiya comes to your TL, grab his collar and say They are not playing by any rules .. saala baap ko sikhata hai t's a FUCKI\xe2\x80\xa6",pmathur_71,"rt <user> : when any virtue signalling chutiya comes to your Tough Luck , grab his collar and say they are not playing by any rules . <repeated> saala baap knock out sikhata hello t ' s a <allcaps> fucki </allcaps> \ xe2 \ x80 \ xa6","user : when any virtue signalling chutiya comes your Tough Luck , grab his collar and say they are not playing any rules . saala baap knock out sikhata hello ' fucki \ xe2 \ x80 \ xa6"
2,Sab madarchod Neta hai.sb..,pmathur_72,slap a bitch madarchod neta hello . sb . <repeated>,slap a bitch madarchod neta hello . .
2,@narendramodi177 @narendramodi arrey madarchod ky bacchey terko inko congrates karney ka time hain but ek tweet kar\xe2\x80\xa6 https://t.co/fza9YOu96m,pmathur_73,<user> <user> arrey madarchod ky bacchey terko inko congrates karney Kick ass time hain but ek tweet kar \ xe2 \ x80 \ xa6 <url>,user user arrey madarchod bacchey terko inko congrates karney Kick ass time hain but tweet kar \ xe2 \ x80 \ xa6
2,@Beingdaring1 @mannkakhiladi @_EternalSalman_ Chal is baat me tu Zaira waseem ki Tatti kha le hutiye...WARNA ek baa\xe2\x80\xa6 https://t.co/AyEdxdA7j3,pmathur_74,<user> <user> <user> chal is baat me thank you zaira waseem ki tatti kha le hutiye . <repeated> <allcaps> warna </allcaps> ek baa \ xe2 \ x80 \ xa6 <url>,user user user chal baat thank you zaira waseem tatti kha hutiye . warna baa \ xe2 \ x80 \ xa6
2,Madarchod https://t.co/9fLcKJ4fxI teri kon sunega,pmathur_75,madarchod <url> teri kon sunega,madarchod teri kon sunega
1,@NaamHiKafiHay Teri maa Randi Madarchod Saale Pakistani,pmathur_76,<user> teri maa randi madarchod saale pakistani,user teri maa randi madarchod saale pakistani
2,@gautamrockzzzzz @BiggBoss Madarchod.. Tera ghar ka nahi khati hai voh chutiye..,pmathur_77,<user> <user> madarchod . <repeated> tera ghar Kick ass nahi khati hello voh chutiye . <repeated>,user user madarchod . tera ghar Kick ass nahi khati hello voh chutiye .
2,@KyaUkhaadLega I m agree with you.. Behanchod madarchod log h bhosdi wali log.. Gali se hi baat smjjhane kaa  ok hand sign,pmathur_78,<user> i m agree with you . <repeated> behanchod madarchod log h bhosdi wali log . <repeated> gali se hi baat smjjhane kaa okay hand sign,user agree with you . behanchod madarchod log bhosdi wali log . gali baat smjjhane kaa okay hand sign
2,@arunl97 @aipatel_55 @ManavDoshi2002 @INCIndia @FitchRatings madarchod choro hindustan chodo,pmathur_79,<user> <user> <user> <user> <user> madarchod choro hindustan chodo,user user user user user madarchod choro hindustan chodo
2,@dasraghubar madarchod tum vote ke liye apne bet I  tak ki dalali kar sake ho,pmathur_80,<user> madarchod tum vote ke liye apne bet i tak ki dalali kar sake hold on,user madarchod tum vote liye apne bet tak dalali kar sake hold on
0,@mukkigirl @MulloKeAbbu @bewak_sanki543 @milkygaay @Dilli_Ka_Maalik @ArvindKrejriwal @ashu3page @AamAadmiParty @AmMi @laudeya @madarchod Ok,pmathur_81,<user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> okay,user user user user user user user user user user user okay
0,RT @Bhak_Machod: @mukkigirl @MulloKeAbbu @bewak_sanki543 @milkygaay @Dilli_Ka_Maalik @ArvindKrejriwal @ashu3page @AamAadmiParty @AmMi @laud\xe2\x80\xa6,pmathur_82,rt <user> : <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> \ xe2 \ x80 \ xa6,user : user user user user user user user user user user \ xe2 \ x80 \ xa6
2,@karanjohar @AnushkaSharma @imVkohli Tu madarchod haii...... Dosti ke namm par Sala dhoka deta hai,pmathur_83,<user> <user> <user> thank you madarchod haii . <repeated> dosti ke namm par sala dhoka deta hello,user user user thank you madarchod haii . dosti namm par sala dhoka deta hello
2,Madarchod fawad ko toh try ball khelaya gya tha. Usey hi tum log first inning samjh liye. Grow up morons. Bhabhi se\xe2\x80\xa6 https://t.co/nTLmvxswmM,pmathur_84,madarchod fawad knock out typing one handed try ball khelaya gya the . usey hi tum log first inning samjh liye . grow up morons . bhabhi se \ xe2 \ x80 \ xa6 <url>,madarchod fawad knock out typing one handed try ball khelaya gya the . usey tum log first inning samjh liye . grow morons . bhabhi \ xe2 \ x80 \ xa6
